nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,t
[0,8,11,82.5,58.4902023725761,51.7822909919729,-1,31,1,3,4,0,0, 0]
[0,8,12,81,49.0307950978212,49.0307950978212,-1,31,1,4,4,0,0, 0]
[0,8,13,79.5,39.6466706113646,48.0786501866846,-1,31,1,5,4,0,0, 0]
[0,8,14,78,30.4076082832806,49.0307950978212,5,31,1,6,4,0,0, 0]
[0,8,15,76.5,28.8471901120107,39.6466706113646,5,30,0,6,5,0,0, 0]
[0,8,16,75,30.4076082832806,30.4076082832806,10,30,0,6,6,0,0, 0]
[0,8,17,73.5,39.6466706113646,28.8471901120107,10,27,0,5,6,0,0, 0]
[0,8,18,72,43.0028520335439,19.2314600746738,10,28,0,5,7,0,0, 0]
[0,8,19,70.5,48.0786501866846,9.61573003733692,10,28,0,5,8,0,0, 0]
[0,8,20,69,54.3947833236809,0,10,19,0,5,9,1,0, 0]
[0,9,1,97.5,99,99,-1,35,2,5,9,0,0, 0]
[0,9,2,96,90.7146157431864,94.7039577981908,-1,35,0,1,0,0,0, 0]
[0,9,3,94.5,82.7176374612441,91.2228248498417,-1,35,1,2,0,0,0, 0]
[0,9,4,93,77.5244939990666,82.1568334529689,-1,35,0,2,1,0,0, 0]
[0,9,5,91.5,77.5244939990666,82.1568334529689,-1,35,2,2,1,0,0, 0]
[0,9,6,90,73.2312182115982,73.2312182115982,-1,35,0,2,2,0,0, 0]
[0,9,7,88.5,73.2312182115982,73.2312182115982,-1,35,2,2,2,0,0, 0]
[0,9,8,87,73.2312182115982,73.2312182115982,-1,35,2,2,2,0,0, 0]
[0,9,9,85.5,64.5042780503158,70.0035713374682,-1,35,1,3,2,0,0, 0]
[0,9,10,84,56.0688592815306,67.9934791546011,-1,34,1,4,2,0,0, 0]
[0,9,11,82.5,61.5707140626831,77.5244939990666,-1,34,1,4,1,0,0, 0]
[0,9,12,81,54.3947833236809,76.9258402986953,-1,34,1,5,1,0,0, 0]
[0,9,13,79.5,48.0786501866846,77.5244939990666,-1,34,1,6,1,0,0, 0]
[0,9,14,78,40.7960874927606,67.9934791546011,-1,34,1,6,2,0,0, 0]
[0,9,15,76.5,34.6700077006375,70.0035713374682,5,34,1,7,2,0,0, 0]
[0,9,16,75,27.1973916618404,60.8152165665612,5,33,0,7,3,0,0, 0]
[0,9,17,73.5,34.6700077006375,58.4902023725761,5,30,0,6,3,0,0, 0]
[0,9,18,72,30.4076082832806,49.0307950978212,5,30,0,6,4,0,0, 0]
[0,9,19,70.5,28.8471901120107,39.6466706113646,5,30,0,6,5,0,0, 0]
[0,9,20,69,30.4076082832806,30.4076082832806,10,21,0,6,6,0,0, 0]
[0,9,21,67.5,39.6466706113646,28.8471901120107,10,18,0,5,6,0,0, 0]
[0,9,22,66,43.0028520335439,19.2314600746738,10,19,0,5,7,0,0, 0]
[0,9,23,64.5,48.0786501866846,9.61573003733692,10,19,0,5,8,0,0, 0]
[0,9,24,63,54.3947833236809,0,10,19,0,5,9,1,0, 0]
