nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,ghgf
[0, 4, 1, 97.5, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 4, 2, 96.0, 82.71763746124408, 91.22282484984174, -1, 35, 0, 2, 0, 0, 0, 0]
[0, 4, 3, 94.5, 82.71763746124408, 91.22282484984174, -1, 35, 2, 2, 0, 0, 0, 0]
[0, 4, 4, 93.0, 82.71763746124408, 91.22282484984174, -1, 35, 2, 2, 0, 0, 0, 0]
[0, 4, 5, 91.5, 82.71763746124408, 91.22282484984174, -1, 35, 2, 2, 0, 0, 0, 0]
[0, 4, 6, 90.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 4, 7, 88.5, 86.00570406708773, 86.00570406708773, -1, 35, 0, 1, 1, 0, 0, 0]
[0, 4, 8, 87.0, 86.00570406708773, 86.00570406708773, -1, 35, 2, 1, 1, 0, 0, 0]
[0, 4, 9, 85.5, 82.15683345296888, 77.52449399906664, -1, 35, 0, 1, 2, 0, 0, 0]
[0, 4, 10, 84.0, 73.23121821159823, 73.23121821159823, -1, 35, 1, 2, 2, 0, 0, 0]
[0, 4, 11, 82.5, 64.5042780503158, 70.0035713374682, -1, 35, 1, 3, 2, 0, 0, 0]
[0, 4, 12, 81.0, 56.06885928153056, 67.99347915460106, -1, 34, 1, 4, 2, 0, 0, 0]
[0, 4, 13, 79.5, 48.07865018668458, 67.3101102613584, -1, 34, 1, 5, 2, 0, 0, 0]
[0, 4, 14, 78.0, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 4, 15, 76.5, 34.670007700637505, 70.0035713374682, 5, 34, 1, 7, 2, 0, 0, 0]
[0, 4, 16, 75.0, 27.19739166184043, 60.81521656656117, 5, 33, 1, 7, 3, 0, 0, 0]
[0, 4, 17, 73.5, 21.501426016771934, 64.5042780503158, 5, 30, 1, 8, 3, 0, 0, 0]
[0, 4, 18, 72.0, 13.598695830920215, 56.06885928153056, 5, 30, 1, 8, 4, 0, 0, 0]
[0, 4, 19, 70.5, 9.615730037336915, 61.57071406268307, 5, 30, 1, 9, 4, 0, 0, 0]
[0, 4, 20, 69.0, 0, 54.39478332368086, 5, 21, 1, 9, 5, 1, 0, 0]
[0, 5, 1, 97.5, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 5, 2, 96.0, 86.00570406708773, 86.00570406708773, -1, 35, 0, 1, 1, 0, 0, 0]
[0, 5, 3, 94.5, 86.00570406708773, 86.00570406708773, -1, 35, 2, 1, 1, 0, 0, 0]
[0, 5, 4, 93.0, 82.15683345296888, 77.52449399906664, -1, 35, 0, 1, 2, 0, 0, 0]
[0, 5, 5, 91.5, 79.29334122272911, 69.34001540127501, -1, 35, 0, 1, 3, 0, 0, 0]
[0, 5, 6, 90.0, 70.0035713374682, 64.5042780503158, -1, 35, 1, 2, 3, 0, 0, 0]
[0, 5, 7, 88.5, 73.23121821159823, 73.23121821159823, -1, 32, 1, 2, 2, 0, 0, 0]
[0, 5, 8, 87.0, 73.23121821159823, 73.23121821159823, -1, 35, 2, 2, 2, 0, 0, 0]
[0, 5, 9, 85.5, 64.5042780503158, 70.0035713374682, -1, 35, 1, 3, 2, 0, 0, 0]
[0, 5, 10, 84.0, 56.06885928153056, 67.99347915460106, -1, 34, 1, 4, 2, 0, 0, 0]
[0, 5, 11, 82.5, 48.07865018668458, 67.3101102613584, -1, 34, 1, 5, 2, 0, 0, 0]
[0, 5, 12, 81.0, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 5, 13, 79.5, 34.670007700637505, 70.0035713374682, 5, 34, 1, 7, 2, 0, 0, 0]
[0, 5, 14, 78.0, 27.19739166184043, 60.81521656656117, 5, 33, 1, 7, 3, 0, 0, 0]
[0, 5, 15, 76.5, 21.501426016771934, 64.5042780503158, 5, 30, 1, 8, 3, 0, 0, 0]
[0, 5, 16, 75.0, 13.598695830920215, 56.06885928153056, 5, 30, 1, 8, 4, 0, 0, 0]
[0, 5, 17, 73.5, 9.615730037336915, 61.57071406268307, 5, 30, 1, 9, 4, 0, 0, 0]
[0, 5, 18, 72.0, 0, 54.39478332368086, 5, 30, 1, 9, 5, 1, 0, 0]
[0, 6, 1, 97.5, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 6, 2, 96.0, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 6, 3, 94.5, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 6, 4, 93.0, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 6, 5, 91.5, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 6, 6, 90.0, 90.7146157431864, 94.70395779819081, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 6, 7, 88.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 6, 8, 87.0, 90.7146157431864, 94.70395779819081, -1, 35, 0, 1, 0, 0, 0, 0]
[0, 6, 9, 85.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 6, 10, 84.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 6, 11, 82.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 6, 12, 81.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 6, 13, 79.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 6, 14, 78.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 6, 15, 76.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 6, 16, 75.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 6, 17, 73.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 6, 18, 72.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 6, 19, 70.5, 82.71763746124408, 91.22282484984174, -1, 35, 1, 2, 0, 0, 0, 0]
[0, 6, 20, 69.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 6, 21, 67.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 6, 22, 66.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 6, 23, 64.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 6, 24, 63.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 6, 25, 61.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 6, 26, 60.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 6, 27, 58.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 6, 28, 57.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 6, 29, 55.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 6, 30, 54.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 6, 31, 52.5, 82.71763746124408, 91.22282484984174, -1, 26, 1, 2, 0, 0, 0, 0]
[0, 6, 32, 51.0, 90.7146157431864, 94.70395779819081, -1, 26, 1, 1, 0, 0, 0, 0]
[0, 6, 33, 49.5, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 6, 34, 48.0, 90.7146157431864, 94.70395779819081, -1, 17, 1, 1, 0, 0, 0, 0]
[0, 6, 35, 46.5, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 6, 36, 45.0, 90.7146157431864, 94.70395779819081, -1, 17, 1, 1, 0, 0, 0, 0]
[0, 6, 37, 43.5, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 6, 38, 42.0, 90.7146157431864, 94.70395779819081, -1, 17, 1, 1, 0, 0, 0, 0]
[0, 6, 39, 40.5, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 6, 40, 38.5, 90.7146157431864, 94.70395779819081, -1, 17, 1, 1, 0, 0, 0, 0]
[0, 6, 41, 36.0, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
[0, 6, 42, 33.5, 90.7146157431864, 94.70395779819081, -1, 17, 1, 1, 0, 0, 0, 0]
[0, 6, 43, 31.0, 82.71763746124408, 91.22282484984174, -1, 17, 1, 2, 0, 0, 0, 0]
