nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,we
[0, 9, 13, 79.5, 54.39478332368086, 76.92584029869532, -1, 34, 1, 5, 1, 0, 0, 0]
[0, 9, 14, 78.0, 48.07865018668458, 77.52449399906664, -1, 34, 1, 6, 1, 0, 0, 0]
[0, 9, 15, 76.5, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 9, 16, 75.0, 34.670007700637505, 70.0035713374682, 5, 34, 1, 7, 2, 0, 0, 0]
[0, 9, 17, 73.5, 27.19739166184043, 60.81521656656117, 5, 33, 0, 7, 3, 0, 0, 0]
[0, 9, 18, 72.0, 34.670007700637505, 58.490202372576086, 5, 30, 0, 6, 3, 0, 0, 0]
[0, 9, 19, 70.5, 30.407608283280585, 49.030795097821205, 5, 30, 0, 6, 4, 0, 0, 0]
[0, 9, 20, 69.0, 28.847190112010743, 39.646670611364556, 5, 21, 0, 6, 5, 0, 0, 0]
[0, 9, 21, 67.5, 30.407608283280585, 30.407608283280585, 10, 21, 0, 6, 6, 0, 0, 0]
[0, 9, 22, 66.0, 39.646670611364556, 28.847190112010743, 10, 18, 0, 5, 6, 0, 0, 0]
[0, 9, 23, 64.5, 43.00285203354387, 19.23146007467383, 10, 19, 0, 5, 7, 0, 0, 0]
[0, 9, 24, 63.0, 48.07865018668458, 9.615730037336915, 10, 19, 0, 5, 8, 0, 0, 0]
[0, 9, 25, 61.5, 54.39478332368086, 0, 10, 19, 0, 5, 9, 1, 0, 0]
